"","bootstrap1","bootstrap2","bootstrap3","bootstrap4","bootstrap5"
"result.195",163.24283122784,146.825478480427,182.532865724047,154.214314073196,199.384755489265
"result.196",214.947201733705,163.873689082736,175.836782624606,180.197886482181,136.587427628931
"result.197",155.011622466141,160.087982120861,182.215607375074,140.775982803568,155.405653520989
"result.198",141.360585685883,163.637381678577,157.729529165838,148.626366235493,228.584994238931
"result.199",188.203927120765,150.521160361353,173.522636359531,154.854386669771,163.344714998226
"result.200",203.041648114631,185.092106737305,212.708809509698,209.095924673667,131.333962711902
"result.201",192.34799404072,138.748585805694,142.093599631412,167.048992453132,189.661833310431
"result.202",192.861712564132,115.542052754709,163.157209330844,152.259671857613,177.932359943649
"result.203",151.584466731605,171.520887294152,147.665755201102,172.489809912178,156.246336213303
"result.204",162.922546595898,203.330110007698,172.041230221445,162.940771046543,178.952766525518
"result.205",178.915650748865,176.360221100035,169.482299229472,139.401315143305,181.185152966835
"result.206",152.723213549225,189.30807589999,184.786306357715,196.850048136289,185.119876518333
"result.207",164.168968338565,139.969552577821,156.985068573034,157.585198037526,144.193454738649
"result.208",214.38886474118,160.22902278478,148.233422928204,164.437772974406,149.572496650156
